quote_id,quote,character,start_time,video_id
1,Your son has no claim to the throne,Ned,1.26,pM_ojGQ4hbU
2,"You condemn yourself with your own mouth, Lord Stark",Cersei,3.33,pM_ojGQ4hbU
3,"Ser Barristan, seize this traitor",Cersei,7.069,pM_ojGQ4hbU
4,"Ser Barristan is a good man, a loyal man - do him no harm",Ned,10.98,pM_ojGQ4hbU
5,You think he stands alone?,Cersei,13.45,pM_ojGQ4hbU
6,"Kill him! Kill all of them, I command it!",Joffrey,21.66,pM_ojGQ4hbU
7,Commander: take the Queen and her children into custody,Ned,24.75,pM_ojGQ4hbU
8,"Escort them back to their royal apartments and keep them there, under guard",Ned,28.76,pM_ojGQ4hbU
9,Men of the Watch,Janos,33.09,pM_ojGQ4hbU
10,I want no bloodshed,Ned,39.26,pM_ojGQ4hbU
11,Tell your men to lay down their swords; no one needs to die,Ned,41.24,pM_ojGQ4hbU
12,NOW!,Janos,48.2,pM_ojGQ4hbU
13,I did warn you not to trust me,Littlefinger,60.91,pM_ojGQ4hbU
14,Shae. Please don't,Tyrion,0,e4Uq8O5ZhUA
15,"I am a whore, remember?",Shae,9.6,e4Uq8O5ZhUA
16,That was before he married Sansa,Shae,15.3,e4Uq8O5ZhUA
17,"After that, all he wanted was her. But she wouldn't let him into her bed. So he promised to kill King Joffrey for her",Shae,17.4,e4Uq8O5ZhUA
18,"Father, I wish to confess",Tyrion,36.7,e4Uq8O5ZhUA
19,I wish to confess!,Tyrion,42.8,e4Uq8O5ZhUA
20,You wish to confess?,Tywin,47.7,e4Uq8O5ZhUA
21,"I saved you. I saved this city, and all your worthless lives. I should have let Stannis kill you all",Tyrion,52,e4Uq8O5ZhUA
22,Tyrion. Do you wish to confess?,Tywin,66,e4Uq8O5ZhUA
23,"Yes, father. I'm guilty. Guilty. Is that what you want to hear?",Tyrion,76.6,e4Uq8O5ZhUA
24,You admit you poisoned the King?,Tywin,84.7,e4Uq8O5ZhUA
25,"No, of that I'm innocent. I am guilty of a far more monstrous crime. I am guilty of being a dwarf",Tyrion,86.6,e4Uq8O5ZhUA
26,You are not on trial for being a dwarf,Tywin,97.6,e4Uq8O5ZhUA
27,"Oh, yes I am. I've been on trial for that my entire life!",Tyrion,100.5,e4Uq8O5ZhUA
28,Have you nothing to say in your defense?,Tywin,107.9,e4Uq8O5ZhUA
29,Nothing but this: I did not do it,Tyrion,109.6,e4Uq8O5ZhUA
30,I did not kill Joffrey but I wish that I had! Watching your vicious bastard die gave me more relief than a thousand lying whores!,Tyrion,114.5,e4Uq8O5ZhUA
31,I wish I was the monster you think I am. I wish I had enough poison for the whole pack of you. I would gladly give my life to watch you all swallow it!,Tyrion,129.7,e4Uq8O5ZhUA
32,"Ser Meryn, escort the prisoner back to his cell",Tywin,143.5,e4Uq8O5ZhUA
33,"I will not give my life for Joffrey's murder, and I know I'll get no justice here, so I will let the gods decide my fate",Tyrion,149.8,e4Uq8O5ZhUA
34,I demand a trial by combat,Tyrion,162.4,e4Uq8O5ZhUA
35,There's no cure for being a cunt,Bronn,108,4mLK7aeEOk4
36,"I understand that if any more words come pouring out your cunt mouth, I'm gonna have to eat every fucking chicken in this room",The Hound,82,sjSMAlwlqWw
37,"When you play the Game of Thrones, you win, or you die",Cersei,167,ucB4UrhI-3w
38,"Chaos isn't a pit, chaos is a ladder",Littlefinger,137,PxlIraEV8n4
39,I'm not going to stop the wheel. I'm going to break the wheel,Daenerys,305,c5TE6dZxLGg
